tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
6:30.10,,LONGO Stefano,1988,SM,PRO PATRIA A.R.C. BUSTO A.,3 su- 1,Olgiate Olona,2019-04-14,https://www.fidal.it/atleta/LONGO-Stefano/dq2RkpWncGU%3D,https://www.fidal.it/societa/PRO-PATRIA-A-R-C--BUSTO-A-/VA121
6:30.23,,BOTTI Flavio,2002,AM,FIAMME GIALLE G. SIMONI,2 su- 1,Roma,2019-05-04,https://www.fidal.it/atleta/BOTTI-Flavio/f6yRlJalaWU%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
6:30.98,,POLZONI Tiziano,2002,AM,FIAMME GIALLE G. SIMONI,3 su- 1,Roma,2019-06-08,https://www.fidal.it/atleta/POLZONI-Tiziano/f6yRlJikaWY%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
6:31.0,,LUCCA Suresh,2002,AM,UNIONE SPORTIVA ALBATESE ASD,1 su- 1,Alessandria,2019-06-01,https://www.fidal.it/atleta/LUCCA-Suresh/dquRkpmkbGk%3D,https://www.fidal.it/societa/UNIONE-SPORTIVA-ALBATESE-ASD/CO546
6:31.37,,DE BARBA Mattia,2002,AM,ANA ATL.FELTRE,1 su- 1,Vicenza,2019-05-18,https://www.fidal.it/atleta/DE-BARBA-Mattia/eKmRlJSiamo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
6:31.37,,BOTTI Flavio,2002,AM,FIAMME GIALLE G. SIMONI,3 su- 1,Rieti,2019-05-18,https://www.fidal.it/atleta/BOTTI-Flavio/f6yRlJalaWU%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
6:31.62,,BRUSA Edoardo,2003,AM,PRO PATRIA A.R.C. BUSTO A.,3 su- 1,Mariano Comense,2019-05-04,https://www.fidal.it/atleta/BRUSA-Edoardo/drKRk5Wka2k%3D,https://www.fidal.it/societa/PRO-PATRIA-A-R-C--BUSTO-A-/VA121
6:31.8,,ALLAZZETTA Alessio,2002,AM,ATLETICA CANAVESANA,2 su- 1,Alessandria,2019-06-01,https://www.fidal.it/atleta/ALLAZZETTA-Alessio/dK6RlZagamo%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
6:32.35,,CINCINI Gianmarco,2002,AM,FIAMME GIALLE G. SIMONI,3 su- 1,Roma,2019-05-04,https://www.fidal.it/atleta/CINCINI-Gianmarco/f6yRlJOmbmY%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
6:32.37,,GAMBONE Gabriele,2003,AM,TOSCANA ATLETICA FUTURA,1 su- 1,Cecina,2019-05-18,https://www.fidal.it/atleta/GAMBONE-Gabriele/faqRkpahbmk%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA-FUTURA/FI018
6:32.38,,CASELLA Augusto,2002,AM,ATLETICA LIVORNO,1 su- 1,Firenze,2019-05-04,https://www.fidal.it/atleta/CASELLA-Augusto/faAAARkpOhaWU%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
6:32.6,,PATTI Nicola,2003,AM,UNIONE GIOVANE BIELLA,3 su- 1,Alessandria,2019-06-01,https://www.fidal.it/atleta/PATTI-Nicola/dKAAARlJOkcGM%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
6:33.44,,PASQUINUCCI Gabriele,2003,AM,ATLETICA FIRENZE MARATHON S.S.,2 su- 1,Cecina,2019-05-18,https://www.fidal.it/atleta/PASQUINUCCI-Gabriele/faqRkpShbmQ%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002
6:33.44,,DAL PRA Giulio,2003,AM,ATL.VICENTINA,10 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/DAL-PRA-Giulio/eK6RkpeibGo%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
6:33.52,,MINGARELLI Andrea,2002,AM,A.ATL. FABRIANO,1 su- 1,Fermo,2019-05-18,https://www.fidal.it/atleta/MINGARELLI-Andrea/e6mRkpKkb2w%3D,https://www.fidal.it/societa/A-ATL--FABRIANO/AN002
6:33.93,,BOTTI Flavio,2002,AM,FIAMME GIALLE G. SIMONI,15 se- 2,Agropoli,2019-06-21,https://www.fidal.it/atleta/BOTTI-Flavio/f6yRlJalaWU%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
6:33.95,,SERPELLONI Francesco,2002,AM,EXPANDIA ATL. INSIEME VERONA,3 su- 1,Rosa',2019-09-07,https://www.fidal.it/atleta/SERPELLONI-Francesco/eKAAARk5KjbGM%3D,https://www.fidal.it/societa/EXPANDIA-ATL--INSIEME-VERONA/VR761
6:34.06,,GAMBONE Gabriele,2003,AM,TOSCANA ATLETICA FUTURA,1 su- 1,Modena,2019-09-28,https://www.fidal.it/atleta/GAMBONE-Gabriele/faqRkpahbmk%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA-FUTURA/FI018
6:34.12,,MATTA Davide,2002,AM,ATLETICA GIO' 22 RIVERA,1 su- 1,Alessandria,2019-05-04,https://www.fidal.it/atleta/MATTA-Davide/dK6RlpalamY%3D,https://www.fidal.it/societa/ATLETICA-GIO-22-RIVERA/TO004
6:34.36,,CAMPI Mattia,2003,AM,ATL. ROVELLASCA,1 su- 1,Chiavenna,2019-05-23,https://www.fidal.it/atleta/CAMPI-Mattia/dquRk5OibGs%3D,https://www.fidal.it/societa/ATL--ROVELLASCA/CO023
