tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
57:18,,MAESANI Marta,1990,JF,ITALGEST ATHLETIC CLUB,2 su- 1,Rosignano Solvay,2009-01-25,https://www.fidal.it/atleta/MAESANI-Marta/dq2RkpajbGk%3D,https://www.fidal.it/societa/ITALGEST-ATHLETIC-CLUB/MI221
57:36,,BORSATO Francesca,1992,AF,TREVISATLETICA,7 su- 1,Grottammare,2009-10-25,https://www.fidal.it/atleta/BORSATO-Francesca/eKyRkpWkbms%3D,https://www.fidal.it/societa/TREVISATLETICA/TV354
57:42,,MORETTI Gladys,1991,JF,ATL. BERGAMO 1959 CREBERG,1 su- 1,Scanzorosciate,2009-10-18,https://www.fidal.it/atleta/MORETTI-Gladys/dqmRl5KncGQ%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-CREBERG/BG003
57:43,,MAFFEIS Giada,1993,AF,ATL. BERGAMO 1959 CREBERG,8 su- 1,Grottammare,2009-10-25,https://www.fidal.it/atleta/MAFFEIS-Giada/dqmRl5ikaGU%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-CREBERG/BG003
57:46,,PANTALEONI Marta,1992,AF,TREVISATLETICA,19 su- 1,Pescara,2009-04-19,https://www.fidal.it/atleta/PANTALEONI-Marta/eKyRkpWjcGo%3D,https://www.fidal.it/societa/TREVISATLETICA/TV354
57:46,,BORSATO Francesca,1992,AF,TREVISATLETICA,50 su- 1,Pescara,2009-04-19,https://www.fidal.it/atleta/BORSATO-Francesca/eKyRkpWkbms%3D,https://www.fidal.it/societa/TREVISATLETICA/TV354
57:46,,DOLCI Tatiana nelie,1993,AF,ITALGEST ATHLETIC CLUB,2 su- 1,Scanzorosciate,2009-10-18,https://www.fidal.it/atleta/DOLCI-Tatiana-nelie/dq2Rk5qnaWU%3D,https://www.fidal.it/societa/ITALGEST-ATHLETIC-CLUB/MI221
58:00,,SETTIMO Martina,1993,AF,A.S. OLIMPIA CLUB,9 su- 1,Grottammare,2009-10-25,https://www.fidal.it/atleta/SETTIMO-Martina/hKiSmpOjbGU%3D,https://www.fidal.it/societa/A-S--OLIMPIA-CLUB/BA015
58:23,,MORELLI Andrea,1993,AF,ASD INTERFLUMINA E' PIU' POMI',4 su- 1,Rosignano Solvay,2009-01-25,https://www.fidal.it/atleta/MORELLI-Andrea/dqiSl5aiaWQ%3D,https://www.fidal.it/societa/ASD-INTERFLUMINA-E-PIU-POMI-/PR484
58:35,,GATTARI Benedetta,1992,AF,ATL. AVIS MACERATA,10 su- 1,Grottammare,2009-10-25,https://www.fidal.it/atleta/GATTARI-Benedetta/e6iRk5OnaWM%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
58:38,,GUIDI Alessia,1993,AF,ATLETICA LIVORNO,11 su- 1,Grottammare,2009-10-25,https://www.fidal.it/atleta/GUIDI-Alessia/faiSkpSjbWw%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
58:52,,GATTARI Benedetta,1992,AF,ATL. AVIS MACERATA,4 su- 1,Roma,2009-06-07,https://www.fidal.it/atleta/GATTARI-Benedetta/e6iRk5OnaWM%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
